date,state,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease,lethality_rate
2021-03-07,KS,4812.0,,0,,9387.0,9387.0,235.0,0,2554.0,50.0,974686.0,0,,,,411.0,22.0,295861.0,,0,0,,,,,,,,0,1270547.0,0,,602322.0,,,1270547.0,0,2525259.0,0,1.6264394428464717
2021-03-07,ID,1879.0,1652.0,3,227.0,7184.0,7184.0,150.0,5,1245.0,33.0,505964.0,535,,,,,,172931.0,139874.0,104,0,,,,,,96017.0,,0,645838.0,396,,123809.0,,,645838.0,396,1103725.0,877,1.0865605357049921
2021-03-07,IL,23014.0,20763.0,12,2251.0,,,1141.0,0,,255.0,,0,,,,,112.0,1198335.0,,1068,0,,,,,,,,0,18640190.0,68094,,,,,,0,18640190.0,68094,1.920498024342108
2021-03-07,IN,12737.0,12310.0,11,427.0,43217.0,43217.0,656.0,64,7600.0,104.0,2483156.0,4643,,,,,50.0,667262.0,,746,0,,,,,760491.0,,,0,8242367.0,29427,,,,,3150418.0,5389,8242367.0,29427,1.908845401056856
2021-03-07,KY,4819.0,4369.0,13,450.0,19457.0,19457.0,558.0,6,4034.0,156.0,,0,,,,,82.0,410709.0,314385.0,525,0,9929.0,37655.0,,,251921.0,48145.0,,0,3975672.0,0,111886.0,509047.0,,,,0,3975672.0,0,1.1733368394654122
2021-03-07,MN,6550.0,6276.0,4,274.0,25978.0,25978.0,224.0,2,5364.0,57.0,3058514.0,8218,,,,,,490011.0,465547.0,895,0,,,,,,476055.0,7111428.0,25369,7111428.0,25369,,451963.0,,,3524061.0,8998,,0,1.3367046862213299
2021-03-07,MA,16417.0,16085.0,43,332.0,19713.0,19713.0,665.0,0,,174.0,4404792.0,8028,,,,,116.0,591356.0,559083.0,1425,0,,,15425.0,,668145.0,508745.0,,0,16825551.0,96578,,,156185.0,580372.0,4963875.0,9309,16825551.0,96578,2.7761619058570473
2021-03-07,MD,7955.0,7773.0,14,182.0,35651.0,35651.0,818.0,79,,215.0,3034546.0,2050,,169779.0,,,,387319.0,387319.0,709,0,,,28360.0,,472716.0,9703.0,,0,8097590.0,33128,,,198139.0,,3421865.0,2759,8097590.0,33128,2.0538625783914553
2021-03-07,ME,706.0,683.0,2,23.0,1570.0,1570.0,67.0,4,,16.0,,0,14232.0,,,,8.0,45794.0,35846.0,159,0,869.0,10749.0,,,41510.0,12840.0,,0,1660180.0,7490,15113.0,213426.0,,,,0,1660180.0,7490,1.5416866838450454
2021-03-07,MI,16658.0,15666.0,0,992.0,,,866.0,0,,222.0,,0,,,9869602.0,,97.0,656072.0,596054.0,0,0,,,,,752365.0,549881.0,,0,10621967.0,0,537073.0,,,,,0,10621967.0,0,2.539050592008194
2021-03-07,LA,9748.0,9033.0,32,715.0,,,532.0,0,,,5261679.0,20578,,,,,75.0,433785.0,372514.0,740,0,,,,,,415954.0,,0,5695464.0,21318,,469967.0,,,,0,5634193.0,21098,2.247196191661768
2021-03-07,IA,5558.0,,6,,,,167.0,0,,35.0,1044418.0,1299,,93984.0,2432425.0,,6.0,282384.0,282384.0,257,0,,60700.0,19704.0,57190.0,306343.0,320054.0,,0,1326802.0,1556,,1390094.0,113739.0,247999.0,1329195.0,1555,2753899.0,4464,1.9682418267323927
2021-03-07,AL,10148.0,7963.0,-1,2185.0,45976.0,45976.0,494.0,0,2676.0,,1931711.0,2087,,,,1515.0,,499819.0,392077.0,408,0,,,,,,295690.0,,0,2323788.0,2347,,,119757.0,,2323788.0,2347,,0,2.030334981263217
2021-03-07,GU,133.0,,0,,,,2.0,0,,1.0,112887.0,0,,,,,1.0,7749.0,7540.0,0,0,27.0,248.0,,,,7590.0,,0,120636.0,0,358.0,9299.0,,,,0,120426.0,0,1.7163504968383017
2021-03-07,GA,17906.0,15598.0,1,2308.0,56797.0,56797.0,2008.0,35,9263.0,,,0,,,,,,1023487.0,828336.0,1709,0,78312.0,168867.0,,,803515.0,,,0,7359069.0,18827,482568.0,1484921.0,,,,0,7359069.0,18827,1.7495092756429735
2021-03-07,FL,32266.0,,66,,82237.0,82237.0,3307.0,92,,,9339038.0,19166,864153.0,816231.0,16887410.0,,,1909209.0,1548837.0,4024,0,190026.0,,178979.0,,2502506.0,,22339182.0,64599,22339182.0,64599,1054711.0,,995580.0,,11248247.0,23190,19482607.0,52132,1.6900192697604086
2021-03-07,DE,1473.0,1337.0,9,136.0,,,104.0,0,,13.0,545070.0,917,,,,,,88354.0,83621.0,215,0,,,,,91873.0,,1431942.0,5867,1431942.0,5867,,,,,633424.0,1132,,0,1.6671571179573081
2021-03-07,DC,1030.0,,0,,,,150.0,0,,38.0,,0,,,,,16.0,41419.0,,146,0,,,,,,29570.0,1261363.0,5726,1261363.0,5726,,,,,441942.0,1149,,0,2.4867814288128636
2021-03-07,CT,7704.0,6327.0,0,1377.0,,,428.0,0,,,,0,,,6188566.0,,,285330.0,265709.0,0,0,,22245.0,,,323284.0,,,0,6520366.0,0,,396680.0,,,,0,6520366.0,0,2.7000315424245613
